Date,Month,Platform,Format,Caption,Account,Views,Reach,Likes,Comments,Saves,Shares,Engagement,EngagementRate,PaidViews,PaidReach,PaidEngagement,OrganicViews,OrganicReach,OrganicEngagement,Crossposted
2026-05-05,2026-05,Facebook,Photo,"El ""Taco Tuesday"" lo inventó una cadena de comida rápida en 1989. Lo registraron como marca. Lo convirtieron en marketing. La comunidad latina llevaba generaciones comiendo tacos cualquier día de la semana sin necesitar un nombre para eso. Si quieres llamarle martes, está bien. Aquí están los tacos que siempre debieron ser. ------ ""Taco Tuesday"" was invented by a fast food chain in 1989. They trademarked it. They made it marketing. The Latino community had been eating tacos any day of the week for generations without needing a name for it. If you want to call it Tuesday, fine. Here are the tacos that should've been there all along.",Supermercados Morelos,1751,1168,4,0,0,2,6,0.0034266133637921186,0,0,0,1751,1168,6,False
2026-05-05,2026-05,Instagram,Photo,"Porque mamá merece algo tan dulce como ella. 💛🍩 Completa su regalo con nuestras donas edición especial de Día de las Madres, hechas para celebrar a mamá y hacer su día aún más especial. 💐✨ 💵 Solo $0.99 c/u 📍 Disponibles por tiempo limitado en Morelos. --- Because Mom deserves something as sweet as she is. 💛🍩 Complete her gift with our special Mother’s Day edition donuts, made to celebrate Mom and make her day even sweeter. 💐✨ 💵 Only $0.99 each 📍 Available for a limited time at Morelos.",supermercadomorelos,423,240,8,1,0,0,9,0.02127659574468085,0,0,0,423,240,9,False
2026-05-05,2026-05,Instagram,Photo,"El ""Taco Tuesday"" lo inventó una cadena de comida rápida en 1989. Lo registraron como marca. Lo convirtieron en marketing. La comunidad latina llevaba generaciones comiendo tacos cualquier día de la semana sin necesitar un nombre para eso. Si quieres llamarle martes, está bien. Aquí están los tacos que siempre debieron ser. ------ ""Taco Tuesday"" was invented by a fast food chain in 1989. They trademarked it. They made it marketing. The Latino community had been eating tacos any day of the week for generations without needing a name for it. If you want to call it Tuesday, fine. Here are the tacos that should've been there all along.",supermercadomorelos,326,196,8,2,0,0,10,0.03067484662576687,0,0,0,326,196,10,False
2026-05-09,2026-05,Facebook,Reel,"Así se vivió el concurso de ¿Quién Come Tacos Más Rápido? Patrocinado por @supermercadomorelos el pasado 2 de mayo durante Fiesta de Mayo! ¡Gracias Supermercados Morelos! Por siempre estar presente a la hora de celebrar nuestra cultura y tradiciones. ¡Que Viva la Tradición! 🌮🌮🌮 Here’s a recap of the “Who Can Eat Tacos the Fastest?” contest sponsored by @supermercadomorelos—this past May 2nd during the Fiesta de Mayo! Thank you, Supermercados Morelos, for always being there to help us celebrate our culture and traditions. Long live tradition! #supermercadosmorelos #vivalatradición",Supermercados Morelos,4682,3991,17,1,0,1,19,0.004058094831268688,0,0,0,4682,3991,19,False
2026-05-10,2026-05,Facebook,Photo,Hay sabores que nos acompañan toda la vida 💛 ¿Qué frase o receta te recuerda a tu mamá? 👩‍👧 Gracias mamá por todo lo que solo tú sabes hacer ✨ --- Some flavors stay with us forever 💛 What dish or phrase reminds you of your mom? Thank you mom for everything only you know how to do ✨,Supermercados Morelos,1238,855,5,0,0,2,7,0.005654281098546042,0,0,0,1238,855,7,False
2026-05-10,2026-05,Facebook + Instagram,Carousel,"🔥 ¡Qué gran ambiente se vivió hoy en nuestras degustaciones de Marinados Morelos! 🙌🥩 Queremos agradecer a todas las personas que nos visitaron este domingo en nuestras sucursales de Harvard (Tulsa) y MacArthur (OKC). Gracias por acompañarnos, disfrutar de las degustaciones y ser parte de esta experiencia llena de sabor 💛🔥 Cada fin de semana seguimos llevando el auténtico sabor de Marinados Morelos a más familias… ¡y esto continúa! 👀 📍 PRÓXIMO SÁBADO desde la 1PM: • Tulsa – Broken Arrow • OKC – 23rd 📍 PRÓXIMO DOMINGO desde la 1PM: • Tulsa – Admiral • OKC – Moore Los invitamos a visitarnos, probar nuestros Marinados Morelos y descubrir por qué cada vez más clientes los convierten en sus favoritos 🤤🔥 Vengan con la familia, disfruten de la degustación y prepárense para otro fin de semana lleno de sabor 😉🔥 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #Degustaciones #FinDeSemanaConSabor #Parrilla #SaborQueEnamora #antojolisto ----------------------------------------------------------------------------------------------- 🔥 What an amazing weekend full of flavor with Marinados Morelos! 🙌🥩 A huge thank you to everyone who stopped by our Harvard location in Tulsa and MacArthur in OKC today. Between the grill aroma, the samples, and the great atmosphere, you all made today truly special 💛🔥 And guess what… we’re just getting started 👀 📅 Next weekend, we’re bringing even more flavor and fresh-off-the-grill goodness your way 👇 📍 SATURDAY • Tulsa – Broken Arrow • OKC – 23rd 📍 SUNDAY • Tulsa – Admiral • OKC – Moore Come hang out with us, try our Marinados Morelos, and see why more and more people are making them their go-to favorites 🤤🔥 Bring the family, enjoy the tasting, and get ready for a weekend packed with flavor 😉 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #TastingEvent #WeekendVibes #FlavorThatHitsDifferent #GrillSeason #FoodieFavorites",,6930,3855,23,0,0,1,24,0.003463203463203463,0,0,0,6930,3855,24,True
2026-05-10,2026-05,Facebook + Instagram,Carousel,"¡Feliz Día de las Madres a todas las increíbles mamás de nuestra comunidad! 🌸 Nos sentimos honrados de haber sido parte de esta hermosa celebración junto al Periódico El Latino y queremos agradecerles por organizar un evento tan significativo dedicado a celebrar a las madres y todo lo que hacen por nuestras familias y comunidad. ¡Felicidades por otra maravillosa celebración y gracias por permitirnos celebrar junto a ustedes! #celebrandoamama Happy Mother’s Day to all the amazing moms in our community! 🌸 We’re honored to have been part of this beautiful celebration with El Latino Newspaper and want to thank them for hosting such a meaningful event dedicated to celebrating mothers and all they do for our families and community. Congratulations on another wonderful celebration, and thank you for allowing us to celebrate with you!",,12816,6262,68,3,1,9,81,0.006320224719101123,0,0,0,12816,6262,81,True
2026-05-10,2026-05,Facebook + Instagram,Carousel,"🔥El sabor no se detiene en Marinados Morelos… ¡y este fin de semana estuvo 🔥! Gracias a todos los que se dieron la vuelta en nuestras degustaciones de Peoria (Tulsa) y 59th (OKC) 🙌🥩 Entre el aroma de la parrilla, las muestras recién preparadas y el gran ambiente que se vivió en tienda… ustedes hicieron de este fin de semana algo espectacular 💛 ¿Listos para más? 👀👇 📍 HOY desde la 1PM seguimos con las degustaciones en: • Tulsa – Harvard • OKC – MacArthur Vengan a probar nuestros Marinados Morelos, encuentren su favorito y lleven a casa sabor listo para cocinar 🤤🔥 Porque aquí ustedes ponen el antojo… y nosotros ponemos el sazón 😉🥩 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #Degustaciones #SaborQueEnamora #FinDeSemanaConSabor #Parrilla #antojolisto ----------------------------------------------------------------------------------------------- 🔥 Another great weekend full of flavor with Marinados Morelos! 🙌🥩 A big thank you to everyone who joined us at our tasting events in Peoria (Tulsa) and 59th (OKC). From the fresh-off-the-grill samples to the great atmosphere in store, it was amazing to see so many people enjoying the experience with us 💛🔥 And we’re not done yet 👀👇 📍 Join us TODAY starting at 1PM: • Tulsa – Harvard • OKC – MacArthur Stop by, try our Marinados Morelos, and discover why they’re quickly becoming a customer favorite 🤤🔥 We look forward to seeing you there for another afternoon full of great flavor and good vibes 😉🥩 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #WeekendFlavor #FreshOffTheGrill #CustomerFavorites #TasteTheDifference",,3440,1847,12,0,0,1,13,0.0037790697674418604,0,0,0,3440,1847,13,True
2026-05-10,2026-05,Instagram,Photo,Hay sabores que nos acompañan toda la vida 💛 ¿Qué frase o receta te recuerda a tu mamá? 👩‍👧 Gracias mamá por todo lo que solo tú sabes hacer ✨ --- Some flavors stay with us forever 💛 What dish or phrase reminds you of your mom? Thank you mom for everything only you know how to do ✨,supermercadomorelos,308,180,10,0,0,0,10,0.032467532467532464,0,0,0,308,180,10,False
2026-05-11,2026-05,Facebook,Carousel,Mayo ya sabe a verano ☀️🌴 y el verano no se imagina sin algo fresco en la mano. 🥤❄️💛 📍Encuéntralas en Morelos. --- May already tastes like summer ☀️🌴 and summer isn’t summer without something cold in your hand. 🥤❄️💛 📍Find them at Morelos.,Supermercados Morelos,1378,929,5,0,0,1,6,0.0043541364296081275,0,0,0,1378,929,6,False
2026-05-11,2026-05,Instagram,Carousel,Mayo ya sabe a verano ☀️🌴 y el verano no se imagina sin algo fresco en la mano. 🥤❄️💛 📍Encuéntralas en Morelos. --- May already tastes like summer ☀️🌴 and summer isn’t summer without something cold in your hand. 🥤❄️💛 📍Find them at Morelos.,supermercadomorelos,362,177,6,0,0,0,6,0.016574585635359115,0,0,0,362,177,6,False
2026-05-12,2026-05,Facebook,Photo,"Did you know Supermercados Morelos now carries a selection of Asian products? We are grateful for ALL our customers and the AAPI community has been incredibly loyal throughout the years! As we celebrate AAPI month, we want to make sure you know we see you, we celebrate you and uplift you! For that reason, we'll be at the Tulsa Global District's Asian American Night Market! Stop by our booth and win your favorite Latin and Asian products! --- ¿Sabías que Supermercados Morelos ahora ofrece una selección de productos asiáticos? ¡Estamos agradecidos con TODOS nuestros clientes, y la comunidad AAPI ha demostrado una lealtad increíble a lo largo de los años! Al celebrar el Mes de la Herencia Asiática y de las Islas del Pacífico (AAPI), queremos asegurarnos de que sepan que los vemos, los celebramos y los apoyamos. Por esa razón, ¡estaremos presentes en el Mercado Nocturno Asiático-Americano del Tulsa Global District este viernes! ¡Visiten nuestro puesto y ganen sus productos latinos y asiáticos favoritos!",Supermercados Morelos,1653,1140,5,0,0,1,6,0.003629764065335753,0,0,0,1653,1140,6,False
2026-05-13,2026-05,Facebook,Carousel,"No siempre hay ganas de cocinar algo elaborado. Pero siempre hay ganas de comer algo que sorprenda. Albóndigas de carne molida rellenas de queso derretido por dentro. Un clásico que se siente diferente. Todo en Morelos, todo en una vuelta. --- You don't always feel like cooking something big. But you always feel like eating something that hits different. Ground beef meatballs stuffed with melted cheese on the inside. A classic that feels like a surprise. All at Morelos, all in one stop.",Supermercados Morelos,1381,1010,6,0,0,1,7,0.005068790731354091,0,0,0,1381,1010,7,False
2026-05-13,2026-05,Facebook,Text,¡Día de la Cultura Hispana en el Capitolio del Estado de Oklahoma! Los invitamos a que vengan a celebrar nuestra cultura hoy de 9am-2pm! Hispanic Culture Day at the Oklahoma State Capitol! We invite you to come celebrate our culture today from 9 a.m. to 2 p.m.!,Supermercados Morelos,780,499,4,0,0,0,4,0.005128205128205128,0,0,0,780,499,4,False
2026-05-13,2026-05,Instagram,Carousel,"No siempre hay ganas de cocinar algo elaborado. Pero siempre hay ganas de comer algo que sorprenda. Albóndigas de carne molida rellenas de queso derretido por dentro. Un clásico que se siente diferente. Todo en Morelos, todo en una vuelta. --- You don't always feel like cooking something big. But you always feel like eating something that hits different. Ground beef meatballs stuffed with melted cheese on the inside. A classic that feels like a surprise. All at Morelos, all in one stop.",supermercadomorelos,288,144,8,0,0,0,8,0.027777777777777776,0,0,0,288,144,8,False
2026-05-14,2026-05,Facebook,Reel,"¿Sabías que en Supermercados Morelos podemos recibir tours escolares? Esta vez fue el turno de Zarrow Elementary School cuyos estudiantes de 3er grado pasaron a poner en práctica su español y sus habilidades financieras! Los alumnos se desplazaron en nuestra nueva ubicación en Admiral y Memorial, cuyo espacio es amplio y seguro para este tipo de actividades. Gracias Aguilas por visitarnos de nuevo! 🦅🦅🦅 Did you know that at Supermercados Morelos, we host school tours? This time, it was Zarrow Elementary School’s turn; their 3rd-grade students stopped by to put their Spanish and financial skills into practice! The students visited our new location at Admiral and Memorial—a spacious and safe setting perfect for activities like this. Thank you, Eagles, for visiting us again! #vivalatradicion",Supermercados Morelos,12373,10618,89,5,0,3,97,0.007839650852663057,0,0,0,12373,10618,97,False
2026-05-15,2026-05,Facebook,Carousel,"Si ya los viste en TikTok, esto es tu señal. 👀 Los helados asiáticos virales llegaron a Morelos. Ven a probarlos antes de que todos tengan un favorito menos tú. --- If you’ve seen them on TikTok, this is your sign. 👀 The viral Asian ice creams are now at Morelos. Come try them before everyone has a favorite but you.",Supermercados Morelos,1648,1102,5,0,0,1,6,0.0036407766990291263,0,0,0,1648,1102,6,False
2026-05-15,2026-05,Instagram,Carousel,"Si ya los viste en TikTok, esto es tu señal. 👀 Los helados asiáticos virales llegaron a Morelos. Ven a probarlos antes de que todos tengan un favorito menos tú. --- If you’ve seen them on TikTok, this is your sign. 👀 The viral Asian ice creams are now at Morelos. Come try them before everyone has a favorite but you.",supermercadomorelos,559,264,12,0,0,1,13,0.023255813953488372,0,0,0,559,264,13,False
2026-05-16,2026-05,Facebook,Reel,"We had a beautiful time at the Asian American Night Market last night celebrating and uplifting the AAPI community! Thank you for stopping by the Supermercados Morelos table and sampling our Asian product line. Thank you Tulsa Global District, diversity is good for Tulsa!!!🤩 ¡Pasamos un momento maravilloso anoche en el Asian American Night Market, celebrando y apoyando a la comunidad AAPI! Gracias por visitar el puesto de Supermercados Morelos y probar nuestra línea de productos asiáticos. ¡¡¡La diversidad es buena para Tulsa!!!🤩",Supermercados Morelos,2891,2222,12,3,0,0,15,0.005188516084399862,0,0,0,2891,2222,15,False
2026-05-16,2026-05,Facebook + Instagram,Carousel,"🔥 ¡Hoy vivimos otro increíble día lleno de sabor con Marinados Morelos! 🙌🥩 Queremos agradecer a todas las personas que nos acompañaron hoy en nuestras tiendas de Broken Arrow (Tulsa) y 23rd (OKC). Gracias por ser parte de esta experiencia, disfrutar de las degustaciones y compartir con nosotros un día lleno de parrilla, sabor y gran ambiente 💛🔥 ¿Y saben qué? 👀 ¡Mañana seguimos con más degustaciones y muchísimo sabor listo para cocinar! 📍 MAÑANA desde la 1PM: • Tulsa – Admiral • OKC – Moore Los esperamos para que prueben nuestros Marinados Morelos y disfruten junto a su familia de un fin de semana lleno de sabor 🤤🔥 Pásenle, prueben sus favoritos y prepárense para seguir disfrutando del auténtico sabor de Marinados Morelos 😉 #MarinadosMorelos #ListosParaElSabor #Tulsa #OKC #Degustaciones #FinDeSemanaConSabor #Parrilla #SaborQueEnamora #AntojoListo ----------------------------------------------------------------------------------------------- 🔥 What an amazing day full of flavor with Marinados Morelos! 🙌🥩 We want to thank everyone who stopped by our Broken Arrow (Tulsa) and 23rd (OKC) locations today. Thank you for being part of the experience, enjoying the samples, and spending the day with us surrounded by great food, grilled flavor, and an awesome atmosphere 💛🔥 And guess what? 👀 We’re not done yet… tomorrow we’re bringing even more flavor your way! 📍 TOMORROW starting at 1PM: • Tulsa – Admiral • OKC – Moore Come by with the family, try our Marinados Morelos, and enjoy a weekend packed with flavor and fresh-off-the-grill goodness 🤤🔥 You bring the craving… we’ll bring the flavor 😉 #MarinadosMorelos #ReadyForFlavor #Tulsa #OKC #WeekendVibes #FoodSampling #GrillSeason #FlavorPacked #FamilyWeekend",,10730,6026,37,0,0,1,38,0.0035414725069897483,0,0,0,10730,6026,38,True
2026-05-16,2026-05,Facebook + Instagram,Carousel,"Gracias al Caucus Legislativo Latino de Oklahoma por organizar un Día de la Cultura Hispana tan significativo en el Capitolio Estatal de Oklahoma. Estamos muy agradecidos por la invitación y por la oportunidad de compartir nuestra comida, tradiciones y cultura con la comunidad. Fue un honor ser parte de un día que celebra el impacto y las contribuciones de la comunidad hispana en Oklahoma. ¡Gracias a todos los que nos acompañaron y celebraron con nosotros! #diadelaculturahispana Thank you to the Oklahoma Legislative Latino Caucus for organizing such a meaningful Hispanic Culture Day at the Oklahoma State Capitol. We’re grateful for the invitation and the opportunity to share our food, traditions, and culture with the community. It was an honor to be part of a day celebrating the impact and contributions of the Hispanic community in Oklahoma. Thank you to everyone who came out and celebrated with us!",,6669,3085,98,0,0,5,103,0.015444594391962814,0,0,0,6669,3085,103,True
2026-05-18,2026-05,Facebook,Photo,"No te lo damos armado. Te damos todo para que lo armes a tu manera. Carne marinada, tortillas, salsa, cilantro, cebolla y limones. Todo en Morelos, todo en una sola vuelta. ---- We don't hand it to you ready-made. We give you everything to make it your way. One stop. That's all it takes.",Supermercados Morelos,3167,2181,12,2,0,1,15,0.00473634354278497,0,0,0,3167,2181,15,False
2026-05-18,2026-05,Facebook,Photo,📣¡Estamos contratando! Ven y forma parte de nuestro equipo. 👉Envía tu solicitud a través de este enlace! https://jobs.supermercadosmorelos.com/Apply/New o ¡Visita tu tienda más cercana y llena una solicitud! ¡Queremos conocerte! 🤝 --------------------------------------------------------------------- 📣We're hiring! Apply now and become part of our team! 👉Apply through this link! https://jobs.supermercadosmorelos.com/Apply/New or Visit the closest store to you and fill out an application! We want to meet you! 🤝 ____________ #jobapplication #wehiring #EstamosContratando #SupermercadosMorelos,Supermercados Morelos,3947,2304,8,3,0,4,15,0.003800354699771979,0,0,0,3947,2304,15,False
